"claim_id","claim","claim_type","importance","source_origin","evidence_required","current_evidence","status","risk","likely_destination"
"C001","Ancestral lineage becomes less informative about realised ecological behaviour under mutation and HGT.","primary empirical","critical","Proposal and MPR","Versioned factorial runs; individual behavioural divergence; lineage-informativeness metric; uncertainty across independent runs","Legacy observations and prose only","planned formal test","high","Results and Discussion"
"C002","Mutation rate affects the onset and magnitude of lineage–behaviour divergence.","causal empirical","critical","MPR","Controlled mutation factor with independent runs and HGT held/varied; effect sizes and intervals","No compliant factorial dataset","planned formal test","high","Results"
"C003","HGT success probability affects the onset and magnitude of lineage–behaviour divergence.","causal empirical","critical","MPR","Controlled HGT factor with independent runs and mutation held/varied; proof transferred code is expressed","No configurable HGT-success experiment in legacy engine","planned formal test","high","Results"
"C004","Mutation and HGT interact in determining classification failure.","causal interaction","critical","MPR","Factorial interaction estimate with run-level replication and uncertainty","No compliant factorial dataset","planned formal test","high","Results"
"C005","A behavioural dual-classification framework is more informative than lineage labels alone.","methodological","critical","Proposal and MPR","Out-of-sample prediction or information metric; cross-classification; sensitivity analysis","Legacy cross-counts only; legacy divergence index is unsuitable","planned formal test","high","Methodology and Discussion"
"C006","TIERRA-SIM is deterministic for a fixed engine version, configuration, and seed.","engineering","critical","Proposal and legacy documentation","Automated reproducibility tests comparing full state/output hashes across repeated runs","24 run pairs sharing conditions and seeds across two independently executed batches agreed exactly on Delta_D and all population counts at 888/888 matched samples over their common prefix (2 Aug 2026). State hashes differ by design because the hash binds state to configuration_id; see D046.","cross-batch determinism verified","low","Methodology and Appendices"
"C007","EXEC_NBR implements parasitism.","mechanistic","high","Legacy thesis and MPR","Demonstrate a constrained benefit to caller and measurable cost/resource transfer from neighbour; compare fitness","Validated rebuild transfers offspring energy and exploit levy from the selected donor; v7 records caller births and donor costs under both compatibility rules; formal fitness evidence is absent","mechanism implemented, empirical claim pending","medium","Methodology"
"C008","Stable mixed or mixotrophic strategies emerge.","empirical ecological","medium","Legacy thesis","Longitudinal individual behaviour; persistence; transition rates; frequency perturbation; independent runs","Legacy genome-presence counts and end states","legacy-only hypothesis","high","Results and Discussion"
"C009","Negative frequency-dependent selection maintains mixed strategies.","causal ecological","medium","Legacy thesis","Direct fitness-versus-frequency estimates or perturbation/recovery experiments","Narrative interpretation and cross-run correlations only","unsupported pending experiment","high","Discussion"
"C010","Digital organisms evolve rewarded computation.","empirical mechanism","medium","Proposal, MPR, and legacy thesis","Execution traces showing valid input/output transformations; ancestry of evolved circuits; reward sensitivity controls","Reward-gated computation with input provenance and once-per-cycle accounting is implemented and construct-tested; no formal evolutionary evidence exists","mechanism implemented, empirical claim pending","high","Results"
"C011","The legacy system converged near a 71/25/4 functional composition.","legacy empirical","low","Exploratory thesis","Original raw data and scripts; reproduction in rebuilt engine if retained as relevant","End-state tables in exploratory thesis; raw datasets not present","legacy evidence only","medium","Legacy comparison appendix only"
"C012","NOP instructions defend against exploitation.","causal mechanistic","low","Exploratory thesis","Manipulation of NOP density controlling genome length/COPY density; fitness or exploitation-success measurement","Cross-run correlation in legacy thesis","unsupported causal claim","high","Possible extension"
"C013","COPY instructions behave as selfish genetic elements.","theoretical analogy","low","Exploratory thesis","Within-genome transmission advantage separable from organism fitness; mechanistic analysis","COPY redundancy benefits organism replication under legacy cooldown","analogy requires narrowing","medium","Discussion"
"C014","Functional speciation occurs.","strong ecological interpretation","low","Exploratory thesis and MPR wording","Persistent heritable multimodal strategies; temporal stability; ecological/fitness differentiation; direct modality testing","Functional categories and high variance only","terminology restricted","high","Discussion only if criteria met"
"C015","Spatial structure enables or changes diversification.","causal ecological","medium","MPR literature rationale","Non-spatial or alternative-neighbourhood control with otherwise identical engine and protocol","Only one spatial topology planned","not testable without added control","high","Possible experiment/limitation"
"C016","The preliminary MPR burn-in reached Δ_D=0.79 with onset at tick 34,336.","pilot empirical","low","MPR Figure 1","Original configuration, seed, raw event data, analysis code, and figure-generation provenance","Figure and prose only","provenance missing","high","Pilot history or remove"
"C017","A 5,000-tick behavioural window balances noise and responsiveness.","measurement","medium","MPR","Sensitivity analysis across multiple windows using controls and injected changes","25 x 200-tick circular measurement state is implemented and boundary-tested; calibration and window sensitivity evidence are not yet available","implemented, calibration pending","medium","Methodology"
"C018","The rebuilt engine reproduces the frozen model where intentionally retained.","engineering validation","medium","Reconstruction plan","Golden tests against selected legacy seeds/states plus documented intentional deviations","Legacy baseline commit ccd0eff and explicit discrepancy/decision records exist; comparison fixtures pending","specified, validation pending","medium","Engineering appendix"
